feature,importance,importance_std,method
120,0.005080975438363167,0.0,mutual_info
243,0.004995028234197507,0.0,mutual_info
183,0.004954173675959295,0.0,mutual_info
426,0.004911131525729973,0.0,mutual_info
219,0.004886259137529603,0.0,mutual_info
29,0.004868228648739592,0.0,mutual_info
217,0.004854073868511666,0.0,mutual_info
401,0.0048231402458474015,0.0,mutual_info
83,0.004799809461397686,0.0,mutual_info
222,0.004793108900613685,0.0,mutual_info
142,0.0047731635075018986,0.0,mutual_info
186,0.004772145703513919,0.0,mutual_info
260,0.004690308798610543,0.0,mutual_info
351,0.004610061832613477,0.0,mutual_info
26,0.004564246139842965,0.0,mutual_info
382,0.004538236267545015,0.0,mutual_info
398,0.004506385190578888,0.0,mutual_info
377,0.004456513571458931,0.0,mutual_info
129,0.004451202371899887,0.0,mutual_info
547,0.004451183307529583,0.0,mutual_info
278,0.00441203878682761,0.0,mutual_info
344,0.0043892097504276695,0.0,mutual_info
311,0.004357046789885022,0.0,mutual_info
429,0.004344527794794217,0.0,mutual_info
475,0.0043413836979495635,0.0,mutual_info
563,0.004341381170705816,0.0,mutual_info
481,0.004323626279039816,0.0,mutual_info
51,0.00424425301700615,0.0,mutual_info
555,0.004240085110820635,0.0,mutual_info
390,0.004164897988470528,0.0,mutual_info
43,0.004126808490223954,0.0,mutual_info
355,0.004124287442507368,0.0,mutual_info
346,0.004064390856576727,0.0,mutual_info
385,0.004002259360222027,0.0,mutual_info
507,0.00399703204727464,0.0,mutual_info
488,0.0039745347888431315,0.0,mutual_info
470,0.003885421611859563,0.0,mutual_info
5,0.003868325459064792,0.0,mutual_info
509,0.003857481201489099,0.0,mutual_info
442,0.0038431787992221356,0.0,mutual_info
562,0.0038256344624161276,0.0,mutual_info
402,0.0037775087069369384,0.0,mutual_info
165,0.0037487270787575078,0.0,mutual_info
270,0.00372550233421598,0.0,mutual_info
587,0.0035662153153663834,0.0,mutual_info
228,0.0035263186713840877,0.0,mutual_info
223,0.0035230245827346796,0.0,mutual_info
24,0.0035075591305628873,0.0,mutual_info
316,0.003459619722133933,0.0,mutual_info
96,0.003459277239476588,0.0,mutual_info
483,0.0034575725330225904,0.0,mutual_info
227,0.0034200111654005827,0.0,mutual_info
231,0.0034165609516538797,0.0,mutual_info
518,0.0033901663175786023,0.0,mutual_info
95,0.003388723873879007,0.0,mutual_info
